Date,Close/Last,Volume,Open,High,Low,Close_Moving_Avg_30,Daily_Return,Year,Month,Volatilidade_30d,forca_relativa,SMA_20,SMA_50,Volatility_30,Avg_Volume_30,Future_Return,Target,prediction
2016-07-21,37.2215,46307340,37.375,37.468,37.1396,36.28576666666666,-0.1729871801748661,2016,7,1.1306114599117758,0.2493909866016958,37.16833333333333,36.02681,0.7945570847456738,67202394.66666667,-0.03398562196672809,0,0
2016-07-22,37.243,45186900,37.3895,37.564,37.1765,36.31445,0.0577623147911987,2016,7,1.1305795584923306,0.1716129032258178,37.250166666666665,36.05844,0.8134762395063444,67262452.0,-0.03570503857904815,0,0
2016-07-25,36.9805,53479700,37.3275,37.425,36.7675,36.350616666666674,-0.7048304379346559,2016,7,1.108790998098594,0.3239543726235762,37.14833333333333,36.08012,0.8183125370745201,66764519.333333336,-0.06244374865313679,0,0
2016-07-26,36.7795,49953780,37.1355,37.1565,36.6376,36.38453333333333,-0.543529698084122,2016,7,1.1117765187136015,0.2734630950086705,37.001,36.10579,0.8141504556086799,66196542.66666666,-0.062321537833979146,0,0
2016-07-27,36.8335,57421580,36.8985,37.047,36.693,36.41348333333334,0.1468209192621028,2016,7,1.1083163370983626,0.3968926553672409,36.8645,36.1318,0.814159345194675,66444554.0,-0.06044180292324572,0,0
2016-07-28,37.6305,144937420,37.299,37.668,36.985,36.4774,2.1637911140673483,2016,7,1.1604123534227142,0.9450951683748148,37.08116666666667,36.18914,0.8323357288481911,69472276.66666667,-0.009906069934485754,0,0
2016-07-29,37.9405,135269960,38.25,38.3,37.75,36.54623333333333,0.8237998432123028,2016,7,1.1653579515399457,0.3463636363636383,37.46816666666667,36.2505,0.865566136572833,71918050.66666667,-0.016435728266082524,0,0
2016-08-01,38.387,71446420,37.9935,38.525,37.853,36.64848333333334,1.1768426878928873,2016,8,1.1305298649616553,0.794642857142859,37.986,36.31972,0.8962918386650004,70390831.33333333,0.008843510597758267,0,0
2016-08-02,38.029,71936160,38.1905,38.2505,37.851,36.7261,-0.9326073931278712,2016,8,1.1413738552019523,0.4455569461827356,38.118833333333335,36.3775,0.9120506678302884,70339959.33333333,-0.000670091579182327,0,0
2016-08-03,37.732,71590460,37.853,37.9445,37.6125,36.7908,-0.780982934076635,2016,8,1.155773502703527,0.3599397590361503,38.04933333333333,36.43539,0.9122744652789658,71318342.66666667,-0.019553326663981546,0,0
2016-08-04,38.0385,63537160,37.685,38.25,37.5175,36.87441666666667,0.8123078554012508,2016,8,1.1480755762850017,0.7112627986348117,37.933166666666665,36.49196,0.9076776456062804,71932759.33333333,-0.022799671170939804,0,0
2016-08-05,38.299,54045320,38.2405,38.4235,38.1545,36.94758333333333,0.684832472363528,2016,8,1.1217300238096213,0.5371747211895971,38.02316666666667,36.54959,0.9315870318915648,71861664.0,-0.01176622371306936,0,0
2016-08-08,38.328,39626740,38.3405,38.35,38.0508,37.06025,0.0757199926891161,2016,8,0.920175258733312,0.926470588235299,38.221833333333336,36.60124,0.8846230616522107,68106683.33333333,-0.0175078823921458,0,0
2016-08-09,38.4155,37497800,38.3695,38.63,38.345,37.1885,0.2282926320183564,2016,8,0.8817188283267154,0.2473684210526377,38.3475,36.65731,0.7840243552691536,65642395.333333336,-0.027135512953630318,0,0
2016-08-10,38.428,32028240,38.49,38.605,38.3095,37.28951666666666,0.0325389491220962,2016,8,0.7941057181919022,0.4010152284263912,38.3905,36.70308,0.7392605751617967,64021664.0,-0.04491114701130862,0,0
2016-08-11,38.562,40344780,38.497,38.6875,38.456,37.38225,0.3487040699490018,2016,8,0.7796856909181255,0.457883369330436,38.4685,36.75488,0.7175453578118183,63322914.0,-0.042829661805771115,0,0
2016-08-12,38.628,31241660,38.423,38.6575,38.4211,37.47715,0.1711529484985208,2016,8,0.7784288299006602,0.8752115059221691,38.53933333333333,36.7992,0.6860426264780349,62468554.66666666,-0.03328494919665645,0,0
2016-08-15,38.4245,42326000,38.595,38.602,38.3855,37.5485,-0.5268199233716464,2016,8,0.7599538252383384,0.1801385681293401,38.53816666666666,36.84215,0.6687641845096179,61934047.333333336,-0.05834997733148718,0,0
2016-08-16,38.202,32023300,38.431,38.4366,38.191,37.6084,-0.5790576325001018,2016,8,0.7723411162514392,0.0447882736156183,38.41816666666667,36.87946,0.6427835534235314,61384021.333333336,-0.07804807413843039,0,0
