Date,Close/Last,Volume,Open,High,Low,Close_Moving_Avg_30,Daily_Return,Year,Month,Volatilidade_30d,forca_relativa,SMA_20,SMA_50,Volatility_30,Avg_Volume_30
2016-07-21,37.2215,46307340,37.375,37.468,37.1396,36.28576666666666,-0.17298718017486614,2016,7,1.1306114599117758,0.24939098660169584,37.16833333333333,36.02681,0.7945570847456738,67202394.66666667
2016-07-22,37.243,45186900,37.3895,37.564,37.1765,36.314449999999994,0.057762314791198754,2016,7,1.1305795584923306,0.17161290322581782,37.250166666666665,36.05844,0.8134762395063444,67262452.0
2016-07-25,36.9805,53479700,37.3275,37.425,36.7675,36.350616666666674,-0.7048304379346559,2016,7,1.108790998098594,0.3239543726235762,37.14833333333333,36.08012,0.8183125370745201,66764519.333333336
2016-07-26,36.7795,49953780,37.1355,37.1565,36.6376,36.38453333333333,-0.543529698084122,2016,7,1.1117765187136015,0.2734630950086705,37.001,36.10579,0.8141504556086799,66196542.666666664
2016-07-27,36.8335,57421580,36.8985,37.047,36.693,36.41348333333334,0.14682091926210283,2016,7,1.1083163370983626,0.3968926553672409,36.8645,36.1318,0.814159345194675,66444554.0
2016-07-28,37.6305,144937420,37.299,37.668,36.985,36.4774,2.1637911140673483,2016,7,1.1604123534227142,0.9450951683748149,37.08116666666667,36.189139999999995,0.8323357288481911,69472276.66666667
2016-07-29,37.9405,135269960,38.25,38.3,37.75,36.54623333333333,0.8237998432123028,2016,7,1.1653579515399455,0.34636363636363837,37.46816666666667,36.2505,0.865566136572833,71918050.66666667
2016-08-01,38.387,71446420,37.9935,38.525,37.853,36.64848333333334,1.1768426878928873,2016,8,1.1305298649616553,0.794642857142859,37.986,36.31972,0.8962918386650004,70390831.33333333
2016-08-02,38.029,71936160,38.1905,38.2505,37.851,36.726099999999995,-0.9326073931278711,2016,8,1.1413738552019523,0.44555694618273567,38.118833333333335,36.3775,0.9120506678302883,70339959.33333333
2016-08-03,37.732,71590460,37.853,37.9445,37.6125,36.7908,-0.780982934076635,2016,8,1.155773502703527,0.3599397590361503,38.04933333333333,36.43539,0.9122744652789658,71318342.66666667
2016-08-04,38.0385,63537160,37.685,38.25,37.5175,36.87441666666667,0.8123078554012508,2016,8,1.1480755762850017,0.7112627986348117,37.933166666666665,36.49196,0.9076776456062803,71932759.33333333
2016-08-05,38.299,54045320,38.2405,38.4235,38.1545,36.947583333333334,0.684832472363528,2016,8,1.1217300238096213,0.5371747211895971,38.02316666666667,36.54959,0.9315870318915648,71861664.0
